Source	ObsID QPO0_freq QPO0_pos_err QPO0_neg_err QPO0_FWHM QPO0_FWHM_pos_err QPO0_FWHM_neg_err QPO0_IP  QPO0_IP_pos_err  QPO0_IP_neg_err Sig. QPO1_freq QPO1_pos_err QPO1_neg_err QPO1_FWHM QPO1_FWHM_pos_err QPO1_FWHM_neg_err QPO1_IP  QPO1_IP_pos_err  QPO1_IP_neg_err Sig. QPO2_freq QPO2_pos_err QPO2_neg_err QPO2_FWHM QPO2_FWHM_pos_err QPO2_FWHM_neg_err QPO2_IP QPO2_IP_pos_err QPO2_IP_neg_err Sig. QPO3_freq QPO3_pos_err QPO3_neg_err QPO3_FWHM QPO3_FWHM_pos_err QPO3_FWHM_neg_err QPO3_IP QPO3_IP_pos_err  QPO3_IP_neg_err Sig. Type 1st_time last_time
4U1630-47 30172-01-01-03 5.75274181E+00 3.99772376E-02 3.90644372E-02 8.71976852E-01 7.98749924E-02 7.43609220E-02 1.60876848E-03 1.10780624E-04 1.12630085E-04 14.2836 1.10467672E+01 2.30558813E-01 2.17216551E-01 1.90275455E+00 7.48413086E-01 5.33512652E-01 3.63219762E-04 8.77548446E-05 7.98411929E-05 4.54928 - - - - - - - - - - - - - - - - - - - - - 0.0 608.0
4U1630-47 30178-01-03-00 4.83507252E+00 3.65250558E-02 3.68269384E-02 1.43363202E+00 1.67703152E-01 1.50213063E-01 2.53425050E-03 2.15968379E-04 2.02955111E-04 12.4868 7.97911835E+00 1.21363193E-01 1.25217289E-01 2.49110794E+00 2.88452506E-01 2.63791412E-01 1.32473011E-03 1.43178244E-04 1.36563656E-04 9.70046 - - - - - - - - - - - - - - - - - - - - - 0.0 1448.0
4U1630-47 30178-02-01-00 3.95341945E+00 2.96205319E-02 2.85749882E-02 1.02017367E+00 1.05577521E-01 9.78976488E-02 3.34976427E-03 3.04583809E-04 2.93801888E-04 11.4014 7.74319649E+00 6.99959397E-02 7.15019256E-02 2.03208542E+00 2.21624672E-01 2.10580111E-01 2.32378626E-03 2.32582519E-04 2.30745354E-04 10.0708 - - - - - - - - - - - - - - - - - - - - - 5870.0 7454.0
4U1630-47 30178-02-01-00-2 3.66021967E+00 2.44023651E-02 2.50350311E-02 1.04541111E+00 1.15302190E-01 1.04232349E-01 3.65371443E-03 3.18135862E-04 2.99773295E-04 12.1883 7.52293253E+00 7.15913847E-02 7.44723976E-02 2.41345191E+00 2.23235980E-01 2.04785094E-01 2.64103315E-03 2.37548666E-04 2.22599279E-04 11.8645 - - - - - - - - - - - - - - - - - - - - - 0.0 2224.0
4U1630-47 30178-02-01-01 4.88245344E+00 2.64553763E-02 2.63271928E-02 1.25683546E+00 9.11042765E-02 8.50718617E-02 2.36922922E-03 1.40727177E-04 1.36822520E-04 17.3161 7.97533369E+00 8.15782100E-02 8.31063911E-02 2.38269997E+00 2.27970362E-01 2.15848342E-01 1.23145443E-03 1.16457908E-04 1.11930582E-04 11.0019 - - - - - - - - - - - - - - - - - - - - - 3515.0 6076.0
4U1630-47 30188-02-01-00 3.91805124E+00 2.95179710E-02 2.99210958E-02 1.30480242E+00 1.42048866E-01 1.25184774E-01 3.91853880E-03 3.19388288E-04 2.85566028E-04 13.722 7.82790375E+00 6.14740402E-02 6.44036904E-02 1.90795112E+00 1.79906860E-01 1.62660703E-01 2.10668263E-03 1.64261219E-04 1.55066373E-04 13.5857 - - - - - - - - - - - - - - - - - - - - - 0.0 1335.0
4U1630-47 30188-02-02-00 2.82992268E+00 6.68502152E-02 6.44196868E-02 4.44349170E-01 2.80825883E-01 1.65038943E-01 2.49658769E-04 1.84061646E-04 1.00108315E-04 2.49389 4.54760981E+00 2.08969191E-02 2.08249874E-02 1.13163006E+00 8.75441730E-02 7.70859346E-02 3.47167859E-03 2.59938242E-04 2.16757442E-04 16.0164 7.93147087E+00 8.12921077E-02 8.39839429E-02 2.67983675E+00 2.58744955E-01 2.45792344E-01 2.02875794E-03 2.27941098E-04 2.05243676E-04 9.88463 - - - - - - - - - - - 0.0 2042.0
4U1630-47 30188-02-03-00 4.91138744E+00 2.90692337E-02 3.05759106E-02 1.21927261E+00 1.20518349E-01 1.00968912E-01 2.47311336E-03 2.16657849E-04 1.77341892E-04 13.9455 8.07996178E+00 1.04530454E-01 1.19620949E-01 2.64464068E+00 3.93256009E-01 3.37960571E-01 1.33881276E-03 2.11719103E-04 1.72963773E-04 7.74042 - - - - - - - - - - - - - - - - - - - - - 0.0 1689.0
4U1630-47 30188-02-04-00 4.79849195E+00 3.02997399E-02 2.57166177E-02 1.28955531E+00 9.95482728E-02 1.06897138E-01 2.70700781E-03 1.76761416E-04 1.97678048E-04 13.694 8.07627964E+00 9.04831663E-02 9.32165682E-02 2.51493359E+00 2.55752802E-01 2.52990127E-01 1.43511803E-03 1.52576729E-04 1.53274057E-04 9.36309 - - - - - - - - - - - - - - - - - - - - - 0.0 2055.0
