Source	ObsID QPO0_freq QPO0_pos_err QPO0_neg_err QPO0_FWHM QPO0_FWHM_pos_err QPO0_FWHM_neg_err QPO0_IP  QPO0_IP_pos_err  QPO0_IP_neg_err Sig. QPO1_freq QPO1_pos_err QPO1_neg_err QPO1_FWHM QPO1_FWHM_pos_err QPO1_FWHM_neg_err QPO1_IP  QPO1_IP_pos_err  QPO1_IP_neg_err Sig. QPO2_freq QPO2_pos_err QPO2_neg_err QPO2_FWHM QPO2_FWHM_pos_err QPO2_FWHM_neg_err QPO2_IP QPO2_IP_pos_err QPO2_IP_neg_err Sig. QPO3_freq QPO3_pos_err QPO3_neg_err QPO3_FWHM QPO3_FWHM_pos_err QPO3_FWHM_neg_err QPO3_IP QPO3_IP_pos_err  QPO3_IP_neg_err Sig. Type 1st_time last_time
XTEJ1550-564 30188-06-10-00 1.32808506E+00 2.79798880E-02 2.17686594E-02 1.88838691E-01 8.31509084E-02 5.99855408E-02 9.24100808E-04 2.99507141E-04 2.48811732E-04 3.71406 2.58095574E+00 5.18883066E-03 5.18228719E-03 1.59674585E-01 1.30116818E-02 1.11422231E-02 1.87923536E-02 9.93863679E-04 9.73975577E-04 19.2945 5.13067627E+00 1.43014072E-02 1.33989975E-02 3.62139612E-01 4.66893129E-02 4.21299040E-02 2.97317770E-03 2.40494148E-04 2.36471911E-04 12.5731 7.68085527E+00 1.02531508E-01 1.24370702E-01 1.85810113E+00 5.25942147E-01 4.67992604E-01 1.11928349E-03 3.02023429E-04 2.65480834E-04 4.21606 C 0.0 1040.0
XTEJ1550-564 30188-06-11-00 1.97415948E+00 3.24196629E-02 3.18534076E-02 4.42283630E-01 1.72139853E-01 1.18454367E-01 6.79687539E-04 2.18997709E-04 1.56071910E-04 4.35496 4.00280046E+00 4.42143576E-03 4.54976037E-03 2.81844318E-01 1.20809916E-02 1.22146206E-02 1.59926489E-02 4.03167331E-04 4.44351928E-04 35.991 7.93844271E+00 1.46757429E-02 1.29737733E-02 5.83295584E-01 4.14217263E-02 4.00989242E-02 1.37029425E-03 6.77009448E-05 6.81624952E-05 20.1033 - - - - - - - - - - C 0.0 2386.0
XTEJ1550-564 30191-01-01-00 2.90151715E+00 5.05773723E-02 5.32525219E-02 7.60991693E-01 1.80345327E-01 1.57956406E-01 1.13050081E-03 2.68840813E-04 2.39107409E-04 4.728 5.81209421E+00 1.19755166E-02 1.18420478E-02 6.53961897E-01 3.06930225E-02 3.11806928E-02 8.48990399E-03 2.66569172E-04 2.85568036E-04 29.7299 1.13803034E+01 1.04894258E-01 1.19194359E-01 1.28195763E+00 3.19369584E-01 2.78613180E-01 2.89449526E-04 6.25559114E-05 5.57211497E-05 5.19461 - - - - - - - - - - C 0.0 1005.0
XTEJ1550-564 30191-01-01-00-2 2.78078961E+00 1.08204730E-01 1.07220136E-01 1.06344295E+00 2.74342448E-01 2.40752220E-01 1.09923014E-03 3.75005999E-04 3.20890103E-04 3.42557 5.65147400E+00 1.34640336E-02 1.32552907E-02 6.92466259E-01 3.39933410E-02 3.44089195E-02 9.25843325E-03 3.08518414E-04 3.36143625E-04 27.5431 1.09131451E+01 1.02776669E-01 1.05334707E-01 1.80726051E+00 3.82792175E-01 3.25781494E-01 4.89217520E-04 1.03287617E-04 8.88013528E-05 5.50912 - - - - - - - - - - C 1021.0 1965.0
XTEJ1550-564 30191-01-08-00 2.81598902E+00 3.88867892E-02 4.12416458E-02 5.33421934E-01 1.19127452E-01 1.05884962E-01 4.44789650E-04 9.01436943E-05 8.31358630E-05 5.35015 5.39358997E+00 5.36969537E-03 5.24953566E-03 5.39314032E-01 1.42544601E-02 1.31141683E-02 1.02364952E-02 1.73647146E-04 1.66943762E-04 61.317 1.05907917E+01 2.78985146E-02 2.82083657E-02 1.18607259E+00 9.02908221E-02 8.43431950E-02 5.59764856E-04 3.70043563E-05 3.51714407E-05 15.9153 - - - - - - - - - - C 0.0 6244.0
XTEJ1550-564 30191-01-09-00 2.11580825E+00 6.29719123E-02 6.27553761E-02 5.99974096E-01 1.94343403E-01 1.79476067E-01 9.47482709E-04 3.09445575E-04 2.78690422E-04 3.39977 4.35255909E+00 9.18399915E-03 9.06299055E-03 3.47872764E-01 1.99585035E-02 1.72588415E-02 1.39696691E-02 5.69029711E-04 5.36120555E-04 26.057 8.57678986E+00 3.36937495E-02 3.44805270E-02 8.36639524E-01 1.08640432E-01 9.60351303E-02 1.14232383E-03 1.16262236E-04 1.09465516E-04 10.4355 - - - - - - - - - - C 0.0 954.0
XTEJ1550-564 30191-01-09-01 1.92439771E+00 6.50374740E-02 7.55507424E-02 5.24168730E-01 2.29107842E-01 1.98230624E-01 1.01421610E-03 3.95925250E-04 3.22035979E-04 3.14939 3.95906925E+00 8.10237322E-03 8.03706888E-03 3.22164148E-01 2.15322915E-02 2.04529166E-02 1.51663302E-02 6.16966339E-04 6.29461487E-04 24.0941 7.83775949E+00 2.87579112E-02 2.80609000E-02 6.88153088E-01 8.94892365E-02 8.10227618E-02 1.30028161E-03 1.25135732E-04 1.21916382E-04 10.6654 - - - - - - - - - - - 0.0 970.0
XTEJ1550-564 30191-01-09-02 1.82955515E+00 6.31015375E-02 6.56833425E-02 3.40161920E-01 2.11602420E-01 1.26418635E-01 6.10416988E-04 3.33546021E-04 2.43056187E-04 2.51142 3.90434694E+00 1.00164134E-02 9.94728226E-03 3.51275116E-01 2.69967653E-02 2.54574697E-02 1.59484558E-02 7.76855741E-04 7.98482273E-04 19.9735 7.69077444E+00 3.78806889E-02 3.72689962E-02 7.40985811E-01 1.12925723E-01 9.96462777E-02 1.40261767E-03 1.66659345E-04 1.59702904E-04 8.78267 - - - - - - - - - - - 0.0 624.0
XTEJ1550-564 30191-01-10-00 1.91591132E+00 2.32265089E-02 2.40021795E-02 5.31291604E-01 9.80481654E-02 8.31732452E-02 1.25680119E-03 2.16151559E-04 1.79908748E-04 6.98577 3.86147976E+00 4.26170183E-03 4.26571211E-03 3.16888660E-01 1.16018094E-02 1.17145088E-02 1.54205114E-02 3.45513748E-04 3.61087965E-04 42.7057 7.64191675E+00 1.50328148E-02 1.45048732E-02 6.12674594E-01 4.58814614E-02 4.27084640E-02 1.22023199E-03 6.69333822E-05 6.49488284E-05 18.7876 - - - - - - - - - - C 0.0 5232.0
XTEJ1550-564 30191-01-11-00 1.39532089E+00 1.97449178E-02 2.00426038E-02 4.95986849E-01 7.57488310E-02 7.12041110E-02 1.93339819E-03 3.16804479E-04 3.01041931E-04 6.42236 2.87320518E+00 4.35236655E-03 4.37734649E-03 3.43255818E-01 1.12611102E-02 1.15529308E-02 1.95612218E-02 3.89759341E-04 4.09113680E-04 47.8137 5.66378212E+00 1.53512200E-02 1.47396289E-02 6.28036559E-01 4.25966755E-02 4.13086079E-02 2.06359546E-03 1.19186567E-04 1.19662669E-04 17.2451 - - - - - - - - - - C 0.0 6608.0
