Source	ObsID QPO0_freq QPO0_pos_err QPO0_neg_err QPO0_FWHM QPO0_FWHM_pos_err QPO0_FWHM_neg_err QPO0_IP  QPO0_IP_pos_err  QPO0_IP_neg_err Sig. QPO1_freq QPO1_pos_err QPO1_neg_err QPO1_FWHM QPO1_FWHM_pos_err QPO1_FWHM_neg_err QPO1_IP  QPO1_IP_pos_err  QPO1_IP_neg_err Sig. QPO2_freq QPO2_pos_err QPO2_neg_err QPO2_FWHM QPO2_FWHM_pos_err QPO2_FWHM_neg_err QPO2_IP QPO2_IP_pos_err QPO2_IP_neg_err Sig. QPO3_freq QPO3_pos_err QPO3_neg_err QPO3_FWHM QPO3_FWHM_pos_err QPO3_FWHM_neg_err QPO3_IP QPO3_IP_pos_err  QPO3_IP_neg_err Sig. Type 1st_time last_time
GRO1655-40 10255-01-03-00 7.64307499E+00 2.58317977E-01 2.47740537E-01 9.08608818E+00 9.85106409E-01 9.99948025E-01 3.15203099E-04 2.45445754E-05 2.76339706E-05 11.4064 1.90609188E+01 1.64790988E-01 1.80085093E-01 4.90236473E+00 5.28250992E-01 4.46294069E-01 1.51837929E-04 1.47378778E-05 1.32133746E-05 11.4912 - - - - - - - - - - - - - - - - - - - - C 0.0 3292.5
GRO1655-40 10255-01-06-01 5.53131580E+00 1.10911295E-01 1.14530146E-01 1.12888470E+01 3.31384391E-01 3.21942389E-01 1.94395601E-03 3.25720794E-05 3.23861896E-05 60.0242 1.66393013E+01 7.05457851E-02 7.23862275E-02 2.53621411E+00 1.99832559E-01 1.89286798E-01 2.71351921E-04 1.75421119E-05 1.72567798E-05 15.7244 - - - - - - - - - - - - - - - - - - - - C 0.0 1739.0
GRO1655-40 10255-01-07-00 8.42745590E+00 2.55969882E-01 2.55787313E-01 1.08423061E+01 6.06771410E-01 5.84638119E-01 7.40008254E-04 3.63353611E-05 3.57832469E-05 20.6803 1.73444786E+01 1.10731617E-01 1.12649292E-01 4.00577354E+00 3.21501315E-01 3.08433264E-01 3.04664689E-04 2.37631702E-05 2.33553656E-05 13.0447 - - - - - - - - - - - - - - - - - - - - C 6564.0 9068.0
GRO1655-40 10255-01-07-00-2 7.85322618E+00 1.72247648E-01 1.67777240E-01 1.16503239E+01 5.18781126E-01 4.87347871E-01 8.86773807E-04 3.19408064E-05 3.04671521E-05 29.1059 1.73336143E+01 9.37473029E-02 9.12992358E-02 4.05200481E+00 2.55023271E-01 2.55572319E-01 3.10932839E-04 1.97689769E-05 2.01480361E-05 15.4324 - - - - - - - - - - - - - - - - - - - - C 0.0 3300.5
GRO1655-40 10255-01-09-00 7.39519215E+00 3.19034934E-01 3.64005208E-01 1.12728109E+01 1.04880750E+00 9.82881784E-01 5.87637885E-04 4.90140410E-05 4.64570694E-05 12.6491 1.76987705E+01 1.96233407E-01 1.92725062E-01 5.03990173E+00 5.20401537E-01 5.26005149E-01 2.15534455E-04 2.43454124E-05 2.44630246E-05 8.81062 - - - - - - - - - - - - - - - - - - - - C 0.0 2694.5
GRO1655-40 10255-01-09-00-2 6.46238708E+00 3.57943982E-01 3.78629059E-01 1.22137938E+01 1.10542679E+00 1.14005589E+00 5.38799155E-04 3.87237960E-05 4.17562842E-05 12.9034 1.88695621E+01 2.28393301E-01 2.39677295E-01 5.65258455E+00 8.31322014E-01 6.96423709E-01 1.43509125E-04 2.23875795E-05 1.90553710E-05 7.53116 - - - - - - - - - - - - - - - - - - - - C 5376.0 8453.5
GRO1655-40 10255-01-10-00 8.35265923E+00 1.54630244E-01 1.49512127E-01 9.69831657E+00 8.18702698E-01 7.99906135E-01 4.67391656E-04 3.52185525E-05 3.72458162E-05 12.5488 1.79599342E+01 1.28144816E-01 1.35487184E-01 5.70894384E+00 4.27478731E-01 4.06284094E-01 2.22619768E-04 1.95393568E-05 1.89405964E-05 11.7536 - - - - - - - - - - - - - - - - - - - - C 0.0 9438.5
GRO1655-40 10255-01-11-00 4.70307875E+00 1.18478656E+00 1.55964088E+00 1.73104019E+01 1.59617746E+00 1.54960561E+00 3.41815030E-04 3.49910260E-05 3.11702752E-05 10.9661 2.08951721E+01 2.40619093E-01 2.59863555E-01 4.55756712E+00 7.79528975E-01 6.83674395E-01 7.74667205E-05 1.16762203E-05 1.06587668E-05 7.26789 - - - - - - - - - - - - - - - - - - - - C 0.0 9029.0
GRO1655-40 10255-01-17-00 7.89509726E+00 2.25226849E-01 2.17298329E-01 1.14112511E+01 7.25603640E-01 6.95705414E-01 9.48074972E-04 4.97994624E-05 4.90852399E-05 19.3149 1.70949211E+01 1.31732345E-01 1.34220243E-01 4.34007311E+00 4.88002509E-01 4.67159510E-01 3.05137772E-04 3.45331573E-05 3.33688149E-05 9.1444 - - - - - - - - - - - - - - - - - - - - C 3840.0 7289.5
GRO1655-40 10255-01-17-00 7.99588680E+00 3.39930475E-01 3.26178700E-01 1.03200893E+01 1.43193710E+00 1.41295564E+00 4.99253510E-04 5.54361177E-05 5.73950601E-05 8.69854 1.72523479E+01 2.33649671E-01 2.60809392E-01 4.90757084E+00 7.76211023E-01 6.79846108E-01 2.49006116E-04 4.26429760E-05 3.80764141E-05 6.53964 - - - - - - - - - - - - - - - - - - - - C 0.0 1532.5
GRO1655-40 10255-01-17-00-2 8.14482307E+00 2.94532269E-01 2.89427072E-01 1.24475250E+01 7.71570623E-01 7.50013113E-01 7.81169976E-04 4.33450077E-05 4.30784130E-05 18.1337 1.70543671E+01 1.34674102E-01 1.37828365E-01 4.38785648E+00 4.38087851E-01 4.22252804E-01 2.94717524E-04 3.07299233E-05 2.98058094E-05 9.88792 - - - - - - - - - - - - - - - - - - - - C 9600.0 13040.0
GRO1655-40 10255-01-18-00 4.05845213E+00 1.64268285E-01 1.67211294E-01 5.76596689E+00 2.12601185E-01 2.31651053E-01 6.81143301E-03 5.24415693E-04 5.26031072E-04 12.9487 1.01526918E+01 2.63250619E-02 2.55399439E-02 2.87668681E+00 8.00511241E-02 8.17718506E-02 3.66843981E-03 9.37208824E-05 9.66000298E-05 37.9756 - - - - - - - - - - - - - - - - - - - - C 0.0 3184.0
