Source	ObsID QPO0_freq QPO0_pos_err QPO0_neg_err QPO0_FWHM QPO0_FWHM_pos_err QPO0_FWHM_neg_err QPO0_IP  QPO0_IP_pos_err  QPO0_IP_neg_err Sig. QPO1_freq QPO1_pos_err QPO1_neg_err QPO1_FWHM QPO1_FWHM_pos_err QPO1_FWHM_neg_err QPO1_IP  QPO1_IP_pos_err  QPO1_IP_neg_err Sig. QPO2_freq QPO2_pos_err QPO2_neg_err QPO2_FWHM QPO2_FWHM_pos_err QPO2_FWHM_neg_err QPO2_IP QPO2_IP_pos_err QPO2_IP_neg_err Sig. QPO3_freq QPO3_pos_err QPO3_neg_err QPO3_FWHM QPO3_FWHM_pos_err QPO3_FWHM_neg_err QPO3_IP QPO3_IP_pos_err  QPO3_IP_neg_err Sig. Type 1st_time last_time
4U1630-47 70417-01-08-00 4.78400850E+00 1.14825644E-01 1.10914774E-01 6.23135448E-01 3.04538667E-01 2.05832109E-01 6.21565632E-05 2.33040300E-05 1.95704924E-05 3.17603 1.30532303E+01 1.66424528E-01 1.75658956E-01 1.60347092E+00 7.28828788E-01 5.70005476E-01 1.39482654E-04 4.39307842E-05 3.64471671E-05 3.82698 - - - - - - - - - - - - - - - - - - - - - 0.0 1093.0
4U1630-47 70417-01-08-01 5.03618956E+00 1.89634651E-01 7.88184106E-02 4.42784220E-01 5.96087039E-01 2.56647438E-01 3.52975694E-05 2.48540236E-05 1.48097488E-05 2.3834 1.30737724E+01 2.61630476E-01 2.33350858E-01 2.89369583E+00 1.07816875E+00 8.64915729E-01 1.76070855E-04 4.70243649E-05 4.14635688E-05 4.2464 - - - - - - - - - - - - - - - - - - - - - 0.0 1271.0
4U1630-47 70417-01-09-00 4.77779198E+00 1.50133446E-01 2.20923334E-01 1.51301193E+00 7.55876005E-01 5.12893498E-01 8.04847077E-05 2.41170474E-05 1.97595145E-05 4.07321 1.24180899E+01 2.12456197E-01 2.06864476E-01 4.53793430E+00 6.39338672E-01 5.44831455E-01 3.11826065E-04 2.91520009E-05 2.75837356E-05 11.3047 - - - - - - - - - - - - - - - - - - - - BC 0.0 3592.0
4U1630-47 80117-01-02-02G 4.76445627E+00 6.31456524E-02 7.02725947E-02 1.56360018E+00 1.66546389E-01 1.43983498E-01 3.17310245E-04 2.92904424E-05 2.57000193E-05 12.3467 1.20902033E+01 6.00896105E-02 6.04578555E-02 2.79697633E+00 2.07112521E-01 1.98970124E-01 4.78341681E-04 2.88454830E-05 2.90276839E-05 16.4788 - - - - - - - - - - - - - - - - - - - - - 4169.0 8169.0
4U1630-47 80117-01-02-02G-2 4.41255665E+00 1.20304443E-01 1.20345034E-01 2.36548114E+00 2.97437221E-01 2.64406741E-01 3.62031133E-04 4.39968571E-05 4.07418229E-05 8.88598 1.26332521E+01 8.56423974E-02 8.41410160E-02 2.74753809E+00 2.67841190E-01 2.41304725E-01 4.24341153E-04 2.99730091E-05 2.86623290E-05 14.8048 - - - - - - - - - - - - - - - - - - - - - 0.0 2480.0
4U1630-47 80117-01-05-00 4.77565956E+00 5.96488640E-02 6.12999722E-02 1.69061816E+00 1.61860973E-01 1.55548394E-01 3.52484232E-04 2.76022711E-05 2.73360674E-05 12.8945 1.23873882E+01 5.89397624E-02 5.69147132E-02 2.63354254E+00 2.01911837E-01 1.88496560E-01 4.37268871E-04 2.44440907E-05 2.44821495E-05 17.8607 - - - - - - - - - - - - - - - - - - - - BC 0.0 3728.0
4U1630-47 80117-01-07-01 4.63233042E+00 2.60525085E-02 2.69952547E-02 3.54892164E-01 9.15516689E-02 7.56673291E-02 7.17281873E-05 1.22845668E-05 1.17108148E-05 6.12495 1.48079729E+01 2.80999303E-01 2.81846613E-01 6.75049829E+00 9.61724460E-01 8.36023033E-01 4.27268475E-04 4.18814525E-05 4.10567955E-05 10.4068 - - - - - - - - - - - - - - - - - - - - BC 0.0 2476.0
4U1630-47 80117-01-07-02 4.53837252E+00 2.49539763E-02 2.70698499E-02 3.65886956E-01 1.03310674E-01 8.37713704E-02 6.31942967E-05 1.17432892E-05 1.07019323E-05 5.90494 1.45399551E+01 1.59181863E-01 1.52472064E-01 5.66085052E+00 6.33685708E-01 5.81519365E-01 4.45147540E-04 3.28236820E-05 3.31843439E-05 13.4144 - - - - - - - - - - - - - - - - - - - - BC 0.0 1852.0
4U1630-47 80117-01-10-00 4.54110765E+00 3.81520763E-02 4.01337072E-02 3.98773730E-01 1.26776338E-01 9.73866358E-02 6.21823128E-05 1.34121383E-05 1.22761166E-05 5.06531 1.41705961E+01 2.81881750E-01 2.82723695E-01 7.60421324E+00 1.10783267E+00 9.51767921E-01 5.10481244E-04 4.75064589E-05 4.57603419E-05 11.1555 - - - - - - - - - - - - - - - - - - - - BC 0.0 1683.0
4U1630-47 80117-01-10-01 5.11259127E+00 4.93398085E-02 5.12648225E-02 4.95097578E-01 2.06039697E-01 1.45494625E-01 6.92003596E-05 1.73872340E-05 1.53661877E-05 4.50342 1.66051998E+01 5.51787198E-01 5.41280687E-01 9.76153946E+00 1.91354644E+00 1.54625678E+00 4.40445234E-04 5.41538429E-05 5.08704543E-05 8.65817 - - - - - - - - - - - - - - - - - - - - - 0.0 1798.0
4U1630-47 80117-01-11-00G 4.38799429E+00 2.34832540E-02 2.02085972E-02 2.98941553E-01 1.14164419E-01 7.92928189E-02 7.29792300E-05 1.63603818E-05 1.34046977E-05 5.4443 1.45110798E+01 2.17054620E-01 2.08569676E-01 5.87595415E+00 9.47647870E-01 8.51634920E-01 4.33748239E-04 4.85627461E-05 5.05334174E-05 8.58339 - - - - - - - - - - - - - - - - - - - - - 0.0 2210.0
4U1630-47 80117-01-11-02 4.19726658E+00 1.61876664E-01 1.21467680E-01 8.57760668E-01 5.43500304E-01 3.72729421E-01 7.32194530E-05 2.85773312E-05 2.44373623E-05 2.99621 1.41924219E+01 2.20840216E-01 2.23199919E-01 5.02090263E+00 9.38313425E-01 7.76378453E-01 4.68354527E-04 5.32053054E-05 5.07610275E-05 9.22666 - - - - - - - - - - - - - - - - - - - - BC 0.0 1209.0
4U1630-47 80417-01-01-00 4.75843906E+00 7.78210610E-02 8.34274441E-02 1.64502275E+00 2.63474345E-01 2.42101759E-01 3.75892618E-04 4.72556967E-05 4.83845870E-05 7.76885 1.21405325E+01 1.25539675E-01 1.21574961E-01 2.91304946E+00 3.85286272E-01 3.55094194E-01 4.31572233E-04 4.92494510E-05 4.91881110E-05 8.77391 - - - - - - - - - - - - - - - - - - - - BC 0.0 2048.0
